1	3535
2	920457
3	254948
4	122920
5	73798
6	49633
7	36005
8	27153
9	20930
10	16789
11	13455
12	10871
13	9128
14	7871
15	6570
16	5611
17	4966
18	4279
19	3819
20	3587
21	3051
22	2771
23	2480
24	2275
25	2027
26	1845
27	1698
28	1592
29	1405
30	1336
31	1237
32	1164
33	1058
34	967
35	933
36	865
37	805
38	706
39	721
40	666
41	627
42	543
43	509
44	473
45	445
46	437
47	404
48	386
49	351
50	304
51	334
52	295
53	270
54	255
55	252
56	222
57	215
58	225
59	212
60	201
61	164
62	159
63	164
64	157
65	165
66	153
67	114
68	119
69	112
70	105
71	110
72	86
73	93
74	85
75	80
76	73
77	82
78	64
79	84
80	75
81	49
82	70
83	43
84	56
85	56
86	37
87	55
88	51
89	36
90	48
91	46
92	26
93	31
94	31
95	30
96	41
97	20
98	22
99	24
100	17
101	29
102	21
103	27
104	19
105	16
106	24
107	26
108	19
109	23
110	20
111	17
112	23
113	13
114	14
115	15
116	15
117	20
118	19
119	17
120	12
121	15
122	11
123	11
124	8
125	10
126	11
127	16
128	11
129	13
130	12
131	13
132	10
133	12
134	8
135	6
136	9
137	5
138	7
139	5
140	5
141	9
142	7
143	7
144	4
145	5
146	7
148	2
149	5
150	5
151	6
152	8
153	3
154	5
155	4
156	3
157	4
158	6
159	7
160	5
161	7
162	6
163	6
164	3
165	1
166	3
167	5
168	2
170	6
171	2
172	2
173	1
174	3
175	5
176	4
177	3
178	4
179	4
180	4
181	3
182	3
183	3
184	3
185	3
186	6
188	2
189	3
190	3
191	3
192	2
193	2
194	1
195	2
196	2
198	2
199	1
200	2
201	2
203	2
204	5
205	3
206	1
207	3
209	2
211	2
212	3
213	3
214	2
215	2
216	2
217	3
218	2
219	2
220	1
222	1
223	2
225	3
226	1
227	1
228	1
229	1
230	2
231	2
232	2
233	1
234	1
235	2
237	2
239	1
240	3
241	1
243	2
247	1
248	3
249	2
250	1
251	1
252	5
256	1
258	1
259	1
260	1
261	1
262	2
263	1
264	1
267	2
268	2
269	1
271	2
272	2
273	1
276	2
278	2
279	1
280	1
282	1
283	1
284	2
285	1
288	2
289	1
290	1
292	2
293	2
294	1
296	2
297	2
298	3
300	2
301	2
302	1
303	1
304	1
305	2
307	1
308	1
310	2
312	1
313	2
314	1
315	1
320	1
323	1
325	1
326	1
327	1
328	1
331	1
332	3
335	1
337	2
342	1
344	1
346	1
350	1
359	1
364	2
403	1
375	1
379	1
380	2
383	1
384	1
388	1
389	2
392	1
399	1
401	1
2115	1
407	1
413	1
418	1
428	2
430	2
440	1
441	1
2493	1
448	1
466	1
477	1
488	1
503	1
513	1
515	3
526	1
529	1
546	1
559	1
565	2
576	1
580	1
581	1
590	1
628	1
630	1
661	1
675	1
678	1
697	1
769	1
795	1
833	1
916	1
918	1
927	1
931	1
935	1
3015	1
989	1
991	1
1062	1
1065	1
1066	1
3121	1
1082	1
1105	1
1274	1
1293	1
2273	1
1423	1
1427	1
1446	1
1467	1
1500	1
1535	1
1545	1
1590	1
1667	1
1800	1
1808	1
1955	1
2046	1
