Michael K. Reiter	81	1.99	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Manuel M. Oliveira	31	2.04	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Fernanda Campos	19	2.09	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Weiyi Liu	39	2.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Paul E. Summers	18	2.19	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	3	2	2	2	3	2	3	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	3	2	2	2	2	2	3	2	3	3	2	2	2	2	2
Jong Youl Choi	21	2.05	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
Pheng-Ann Heng	89	1.96	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2
Mark de Berg	57	2.01	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Marcos Jos	31	2.03	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Jin-Zhi Wang	7	2.42	3	3	3	2	3	2	2	3	3	2	3	2	3	2	3	2	3	2	3	2	3	3	2	3	2	2	3	3	2	2	2	3	2	2	2	2	2	3	2	3	2	2	2	3	2	3	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	3	2	3	2	2	3	3	3	2	3	2	3	2	3	2	2	2	3	2	2	2	3	2	2	2	2	2	2	3	2	3	3	2	3	2	3	2
Mohamed Ally	8	2.42	3	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	3	3	3	3	3	2	3	2	2	2	3	2	3	2	2	3	2	2	2	2	3	2	2	2	2	3	3	2	3	2	2	2	3	3	2	2	3	2	2	2	2	2	3	3	3	2	3	2	2	3	3	3	3	2	2	3	3	3	2	2	3	2	3	2	3	3	2	2	3	3	3	3	2	2	2	2	2	3	2	2	2	3	3
James H. Martin	39	2.11	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
Omar A. El Sawy	11	2.55	3	3	3	3	2	2	2	3	3	3	2	3	3	2	3	2	3	3	3	2	3	2	2	2	3	2	3	3	3	2	2	2	2	3	2	2	2	2	2	3	2	2	3	3	2	2	3	3	2	3	3	3	3	2	3	2	3	2	3	3	2	3	2	3	2	2	3	3	3	3	2	3	3	3	3	2	2	2	2	3	3	3	3	2	3	3	2	3	2	3	3	2	3	2	3	3	2	2	2	3
Baher Haroun	12	2.37	3	3	2	2	2	3	2	2	3	2	3	2	3	2	3	2	2	2	2	2	3	3	2	3	3	2	2	3	2	3	2	2	2	2	2	2	2	3	2	3	2	3	2	3	2	3	3	2	2	2	2	2	3	2	2	2	2	2	3	3	2	2	2	3	2	3	2	2	3	3	2	2	2	3	3	2	3	2	2	3	2	2	2	2	2	3	2	2	2	2	3	3	2	2	3	3	3	2	3	2
Magnus Jonsson	37	2.02	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
